#Aplicación presupuestaria,Funcional,Economico,Desc. Funcional,Desc. Economico,Proyecto,Desc. Proyecto,Suma Cons. inicial,Suma Modificaciones,Suma Cons. definitiva,Suma O
2009,4220,120,Col.legis E.G.B.,Retribucions basiques,,,47224.1,-1472.82,45751.28,46614.5
2009,4220,121,Col.legis E.G.B.,Retribuc. complementaries,,,46515.75,2131.32,48647.07,47783.85
2009,4220,203,Col.legis E.G.B.,"Maquinaria, instal.utill.",,,30000,0,30000,0
2009,4220,205,Col.legis E.G.B.,Mobiliari i efectes,,,10500,0,10500,10300.8
2009,4220,212,Col.legis E.G.B.,Edificis i altres constru,,,40000,5103.99,45103.99,36641.42
2009,4220,221,Col.legis E.G.B.,Subministres,,,30000,0,30000,63355.01
2009,4220,632,Col.legis E.G.B.,Inv. rep. edificis i cons,,,0,14482.41,14482.41,12009.1
2009,4221,226,Ponencia d'Educació,Despeses diverses,,,18000,4295.14,22295.14,17708.25
2009,4221,227,Ponencia d'Educació,Treballs altres empreses,,,8700,-7706.89,993.11,5580
2009,4221,481,Ponencia d'Educació,"Premis, beques estudis",,,106500,27360,133860,127879.33
2009,4221,482,Ponencia d'Educació,Guard.Xiquets 0-3 anys,,,12000,-6870.67,5129.33,11110
2009,4223,130,Escola Permanent d'Adults,Personal Laboral fixe,,,46053.43,0,46053.43,43071.4
2009,4223,131,Escola Permanent d'Adults,Personal Laboral eventual,,,15128.93,0,15128.93,18044.76
2009,4223,203,Escola Permanent d'Adults,"Maquinaria, instal.utill.",,,1520,0,1520,1780.68
2009,4223,221,Escola Permanent d'Adults,Subministres,,,6000,0,6000,0
2009,4223,226,Escola Permanent d'Adults,Despeses diverses,,,2500,0,2500,765.56
2009,4223,227,Escola Permanent d'Adults,Treballs altres empreses,,,20000,7770.24,27770.24,33333.66
2009,4226,410,OOAA Conservatori Música,A Orgs. autonoms Entitat,,,241776,0,241776,241776
2009,4226,710,OOAA Conservatori Música,A Orgs. auton. Ent. local,,,1800,0,1800,1800
2009,4230,120,Gabinet Psicopedagògic,Retribucions basiques,,,58598.68,0,58598.68,74396.83
2009,4230,121,Gabinet Psicopedagògic,Retribuc. complementaries,,,55452.66,34282.29,89734.95,73936.8
2009,4260,481,Menjador Escolar,"Premis, beques estudis",,,35000,15000,50000,32534.89
2009,4310,212,Edificis Corporació,Edificis i altres constru,,,10000,53365.59,63365.59,93461.52
2009,4310,227,Edificis Corporació,Treballs altres empreses,,,0,68347.32,68347.32,37237.18
2009,4310,632,Edificis Corporació,Inv. rep. edificis i cons,924,EDIFICI POLICIA LOCAL.,1,132040.9,132041.9,0
2009,4312,120,Agencia de l'habitatge,Retribucions basiques,,,29580.32,0,29580.32,29402.28
2009,4312,121,Agencia de l'habitatge,Retribuc. complementaries,,,38473.43,0,38473.43,38473.36
2009,4312,202,Agencia de l'habitatge,Edificis i altres constru,,,8600,0,8600,7811.11
