#Aplicación presupuestaria,Programa,Económico,Desc. programa,Desc. económico,Proyecto,Desc. proyecto,Consig. inicial,Modificaciones,Consig. definit.,Obl. recon. (O)
2012.0.0.1550.0.226,1550,226,Vies Públiques,Despeses diverses,,,,,,250.49
2012.0.0.1551.0.120,1551,120,Obres,Retribucions bàsiques,,,60390.84,-18209.4,42181.44,32512.85
2012.0.0.1551.0.121,1551,121,Obres,Retribucions complementar,,,67697.88,-27326.34,40371.54,29071.1
2012.0.0.1551.0.130,1551,130,Obres,Personal laboral fix,,,,,,18140.22
2012.0.0.1551.0.131,1551,131,Obres,Personal Laboral eventual,,,19453.92,,19453.92,18236.87
2012.0.0.1551.0.160,1551,160,Obres,Quotes socials,,,46127.29,-4971.31,41155.98,34785.25
2012.0.0.1551.0.204,1551,204,Obres,Arrendament vehicles,,,17453.16,,17453.16,17453.16
2012.0.0.1551.0.221,1551,221,Obres,Subministres,,,15300.0,,15300.0,12639.73
2012.0.0.1610.0.120,1610,120,Servei d'Aigua Potable,Retribucions bàsiques,,,22073.64,-379.76,21693.88,16693.86
2012.0.0.1610.0.121,1610,121,Servei d'Aigua Potable,Retribucions complementar,,,27138.16,,27138.16,28945.27
2012.0.0.1610.0.160,1610,160,Servei d'Aigua Potable,Quotes socials,,,15255.66,,15255.66,15025.98
2012.0.0.1611.0.210,1611,210,Clavegueram i Vessam.Aigu,Rep mment.conser.Infrastr,,,1000.0,-854.8,145.2,
2012.0.0.1620.0.227,1620,227,Recollida Fem i Net.viari,Treb.real.altres empreses,,,720000.0,12158.62,732158.62,703307.46
2012.0.0.1640.0.120,1640,120,Cementeri Municipal,Retribucions bàsiques,,,17507.94,2810.24,20318.18,17240.69
2012.0.0.1640.0.121,1640,121,Cementeri Municipal,Retribucions complementar,,,23673.72,,23673.72,22862.84
2012.0.0.1640.0.160,1640,160,Cementeri Municipal,Quotes socials,,,12766.31,-355.05,12411.26,12411.26
2012.0.0.1640.0.212,1640,212,Cementeri Municipal,Rep.mment.i cons.edificis,,,2000.0,,2000.0,2676.24
2012.0.0.1640.0.221,1640,221,Cementeri Municipal,Subministres,,,2319.52,,2319.52,1623.1
2012.0.0.1640.1204.622,1640,622,Cementeri Municipal,In. nova Edificis i const,1204,Obres apliac. cement.,,32750.94,32750.94,32750.94
2012.0.0.1650.0.120,1650,120,Enllumenat Públic,Retribucions bàsiques,,,41069.8,-1980.82,39088.98,36672.99
2012.0.0.1650.0.121,1650,121,Enllumenat Públic,Retribucions complementar,,,62269.96,-2148.5,60121.46,56089.12
2012.0.0.1650.0.160,1650,160,Enllumenat Públic,Quotes socials,,,32035.33,-2841.25,29194.08,29194.08
2012.0.0.1650.0.210,1650,210,Enllumenat Públic,Rep mment.conser.Infrastr,,,5000.0,,5000.0,2975.2
2012.0.0.1650.0.213,1650,213,Enllumenat Públic,Rep.mment i cons.Maquinar,,,10000.0,,10000.0,1244.31
2012.0.0.1650.0.221,1650,221,Enllumenat Públic,Subministres,,,200000.0,39344.99,239344.99,249822.48
2012.0.0.1700.0.120,1700,120,Medi ambient,Retribucions bàsiques,,,18628.26,-93.82,18534.44,17665.91
