#Aplicación presupuestaria,Programa,Económico,Desc. programa,Desc. económico,Proyecto,Desc. proyecto,Consig. inicial,Modificaciones,Consig. definit.,Obl. recon. (O)
2013.0.0.1551.1308.624,1551,624,Obres,Inv. nova elem. trasport,1308,Adquis.vehicl.Ser. PPOS13,,16830.0,16830.0,16830.0
2013.0.0.1610.0.120,1610,120,Servei d'Aigua Potable,Retribucions bàsiques,,,22073.64,,22073.64,22173.9
2013.0.0.1610.0.121,1610,121,Servei d'Aigua Potable,Retribucions complementar,,,27138.16,,27138.16,27289.4
2013.0.0.1610.0.160,1610,160,Servei d'Aigua Potable,Quotes socials,,,15255.66,893.18,16148.84,15897.34
2013.0.0.1611.0.210,1611,210,Clavegueram i Vessam.Aigu,Rep mment.conser.Infrastr,,,1000.0,,1000.0,525.46
2013.0.0.1620.0.227,1620,227,Recollida Fem i Net.viari,Treb.real.altres empreses,,,720000.0,18556.95,738556.95,738556.95
2013.0.0.1640.0.120,1640,120,Cementeri Municipal,Retribucions bàsiques,,,17507.94,11793.53,29301.47,18797.84
2013.0.0.1640.0.121,1640,121,Cementeri Municipal,Retribucions complementar,,,23673.72,,23673.72,34153.86
2013.0.0.1640.0.151,1640,151,Cementeri Municipal,Gratificacions,,,,,,370.64
2013.0.0.1640.0.160,1640,160,Cementeri Municipal,Quotes socials,,,12766.31,3196.29,15962.6,9193.17
2013.0.0.1640.0.212,1640,212,Cementeri Municipal,Rep.mment.i cons.edificis,,,2000.0,3191.01,5191.01,6563.96
2013.0.0.1640.0.221,1640,221,Cementeri Municipal,Subministres,,,2319.52,6682.0,9001.52,2669.58
2013.1.0.1640.0708.611,1640,611,Cementeri Municipal,Inversio reposicio infrae,0708,Inversions Cementeri,,7835.91,7835.91,
2013.0.0.1650.0.120,1650,120,Enllumenat Públic,Retribucions bàsiques,,,41069.8,,41069.8,39406.21
2013.0.0.1650.0.121,1650,121,Enllumenat Públic,Retribucions complementar,,,62269.96,,62269.96,60337.28
2013.0.0.1650.0.160,1650,160,Enllumenat Públic,Quotes socials,,,32035.33,1419.7,33455.03,29929.02
2013.0.0.1650.0.210,1650,210,Enllumenat Públic,Rep mment.conser.Infrastr,,,5000.0,,5000.0,1087.06
2013.0.0.1650.0.213,1650,213,Enllumenat Públic,Rep.mment i cons.Maquinar,,,10000.0,,10000.0,6685.94
2013.0.0.1650.0.221,1650,221,Enllumenat Públic,Subministres,,,200000.0,,200000.0,191374.28
